Daily_Calories,Protein_g,Carbs_g,Fat_g,Fiber_g,Sugar_g,Vitamin_A_mcg,Vitamin_C_mg,Vitamin_D_mcg,Calcium_mg,Iron_mg,Potassium_mg,Magnesium_mg,Zinc_mg
1660,124,187,46,28,37,900,90,15,1200,27,3500,400,11
1728,130,194,48,29,39,900,90,15,1000,18,3500,400,11
1588,119,179,44,27,36,900,90,15,1200,27,3500,400,11
2776,208,312,77,47,62,900,90,15,1200,27,3500,400,11
2815,211,246,109,37,49,900,90,15,1200,27,3500,400,11
3461,260,389,96,58,78,900,90,15,1000,27,3500,400,11
3218,241,362,89,54,72,900,90,15,1000,18,3500,400,11
2637,198,297,73,45,59,900,90,15,1200,27,3500,400,11
3626,272,408,101,61,82,900,90,15,1200,27,3500,400,11
3513,263,395,98,59,79,900,90,15,1000,18,3500,400,11
3772,283,424,105,64,85,900,90,15,1000,27,3500,400,11
2339,175,263,65,39,53,900,90,15,1200,27,3500,400,11
1651,124,186,46,28,37,900,90,15,1000,27,3500,400,11
2970,223,334,83,50,67,900,90,15,1000,18,3500,400,11
2202,165,248,61,37,50,900,90,15,1000,27,3500,400,11
3517,264,396,98,59,79,900,90,15,1000,18,3500,400,11
3702,278,416,103,62,83,900,90,15,1000,18,3500,400,11
2933,220,330,81,50,66,900,90,15,1200,27,3500,400,11
2082,156,234,58,35,47,900,90,15,1200,27,3500,400,11
2902,218,326,81,49,65,900,90,15,1200,27,3500,400,11
3198,240,360,89,54,72,900,90,15,1200,27,3500,400,11
2091,157,235,58,35,47,900,90,15,1200,27,3500,400,11
2699,202,304,75,46,61,900,90,15,1200,27,3500,400,11
2658,199,299,74,45,60,900,90,15,1200,27,3500,400,11
2015,151,227,56,34,45,900,90,15,1200,27,3500,400,11
4560,342,513,127,77,103,900,90,15,1000,18,3500,400,11
1984,149,223,55,33,45,900,90,15,1000,18,3500,400,11
2142,161,241,59,36,48,900,90,15,1200,27,3500,400,11
2471,185,278,69,42,56,900,90,15,1200,40.5,3500,400,11
3438,258,387,95,58,77,900,90,15,1200,27,3500,400,11
1718,129,193,48,29,39,900,90,15,1200,27,3500,400,11
2405,180,271,67,41,54,900,90,15,1200,27,3500,400,11
2039,153,229,57,34,46,900,90,15,1000,18,3500,400,11
2869,215,323,80,48,65,900,90,15,1000,18,3500,400,11
3274,246,368,91,55,74,900,90,15,1000,18,3500,400,11
2128,160,239,59,36,48,900,90,15,1000,18,3500,400,11
2201,165,248,61,37,50,900,90,15,1200,27,3500,400,11
3089,232,347,86,52,69,900,90,15,1200,27,3500,400,11
3021,227,340,84,51,68,900,90,15,1200,27,3500,400,11
3187,239,359,89,54,72,900,90,15,1000,18,3500,400,11
2125,159,239,59,36,48,900,90,15,1000,18,3500,400,11
3069,230,345,85,52,69,900,90,15,1200,27,3500,400,11
2766,207,311,77,47,62,900,90,15,1200,27,3500,400,11
3823,287,430,106,64,86,900,90,15,1000,18,3500,400,11
3755,282,422,104,63,84,900,90,15,1000,18,3500,400,11
2363,177,266,66,40,53,900,90,15,1000,18,3500,400,11
2380,179,268,66,40,54,900,90,15,1200,27,3500,400,11
4289,322,483,119,72,97,900,90,15,1000,18,3500,400,11
3274,246,368,91,55,74,900,90,15,1200,27,3500,400,11
4543,341,398,177,60,80,900,90,15,1000,18,3500,400,11
3380,253,380,94,57,76,900,90,15,1000,18,3500,400,11
2378,178,268,66,40,54,900,90,15,1200,27,3500,400,11
1987,149,224,55,34,45,900,90,15,1200,27,3500,400,11
2744,206,309,76,46,62,900,90,15,1000,18,3500,400,11
1486,111,167,41,25,33,900,90,15,1200,27,3500,400,11
2095,157,183,81,27,37,900,90,15,1200,27,3500,400,11
3045,228,343,85,51,69,900,90,15,1200,27,3500,400,11
2917,219,328,81,49,66,900,90,15,1000,18,3500,400,11
1590,119,179,44,27,36,900,90,15,1200,27,3500,400,11
3033,227,341,84,51,68,900,90,15,1200,27,3500,400,11
2261,170,254,63,38,51,900,90,15,1200,40.5,3500,400,11
2207,166,248,61,37,50,900,90,15,1000,18,3500,400,11
1807,136,203,50,30,41,900,90,15,1000,18,3500,400,11
1770,133,199,49,30,40,900,90,15,1200,27,3500,400,11
1590,119,139,62,21,28,900,90,15,1200,27,3500,400,11
3522,264,396,98,59,79,900,90,15,1000,18,3500,400,11
2070,155,233,57,35,47,900,90,15,1200,40.5,3500,400,11
3301,248,371,92,56,74,900,90,15,1000,18,3500,400,11
3451,259,388,96,58,78,900,90,15,1000,18,3500,400,11
2275,171,256,63,38,51,900,90,15,1200,27,3500,400,11
2499,187,281,69,42,56,900,90,15,1200,27,3500,400,11
2384,179,268,66,40,54,900,90,15,1000,18,3500,400,11
1480,111,166,41,25,33,900,90,15,1200,27,3500,400,11
2286,171,257,63,39,51,900,90,15,1000,18,3500,400,11
2906,218,327,81,49,65,900,90,15,1000,18,3500,400,11
2827,212,318,79,48,64,900,90,15,1000,18,3500,400,11
3256,244,366,90,55,73,900,90,15,1200,27,3500,400,11
2805,210,316,78,47,63,900,90,15,1000,18,3500,400,11
2818,211,317,78,48,63,900,90,15,1200,27,3500,400,11
3330,250,375,92,56,75,900,90,15,1200,27,3500,400,11
1830,137,160,71,24,32,900,90,15,1200,27,3500,400,11
2612,196,294,73,44,59,900,90,15,1000,18,3500,400,11
1777,133,200,49,30,40,900,90,15,1200,27,3500,400,11
1535,115,173,43,26,35,900,90,15,1200,27,3500,400,11
2575,193,290,72,44,58,900,90,15,1200,27,3500,400,11
1773,133,199,49,30,40,900,90,15,1000,18,3500,400,11
3781,284,425,105,64,85,900,90,15,1200,27,3500,400,11
2390,179,269,66,40,54,900,90,15,1000,18,3500,400,11
2637,198,297,73,45,59,900,90,15,1000,18,3500,400,11
2002,150,225,56,34,45,900,90,15,1200,27,3500,400,11
2190,164,246,61,37,49,900,90,15,1000,18,3500,400,11
2850,214,321,79,48,64,900,90,15,1200,27,3500,400,11
1834,138,206,51,31,41,900,90,15,1000,18,3500,400,11
2707,203,305,75,46,61,900,90,15,1000,18,3500,400,11
2932,220,257,114,39,51,900,90,15,1200,27,3500,400,11
3471,260,390,96,58,78,900,90,15,1000,18,3500,400,11
1900,142,214,53,32,43,900,90,15,1200,27,3500,400,11
4087,307,460,114,69,92,900,90,15,1000,18,3500,400,11
2408,181,271,67,41,54,900,90,15,1000,18,3500,400,11
3277,246,369,91,55,74,900,90,15,1000,18,3500,400,11
2398,180,210,93,32,42,900,90,15,1000,18,3500,400,11
3428,257,386,95,58,77,900,90,15,1000,27,3500,400,11
2565,192,289,71,43,58,900,90,15,1200,27,3500,400,11
2065,155,232,57,35,46,900,90,15,1200,27,3500,400,11
2739,205,308,76,46,62,900,90,15,1000,18,3500,400,11
2925,219,329,81,49,66,900,90,15,1000,18,3500,400,11
1870,140,164,73,25,33,900,90,15,1200,27,3500,400,11
2338,175,263,65,39,53,900,90,15,1200,27,3500,400,11
2328,175,262,65,39,52,900,90,15,1200,27,3500,400,11
2780,208,313,77,47,63,900,90,15,1000,18,3500,400,11
1329,100,150,37,22,30,900,90,15,1200,27,3500,400,11
3228,242,282,126,42,56,900,90,15,1200,27,3500,400,11
2714,204,305,75,46,61,900,90,15,1200,27,3500,400,11
2471,185,278,69,42,56,900,90,15,1200,27,3500,400,11
3652,274,411,101,62,82,900,90,15,1000,18,3500,400,11
2044,153,230,57,34,46,900,90,15,1000,18,3500,400,11
2164,162,243,60,36,49,900,90,15,1000,18,3500,400,11
2340,175,263,65,39,53,900,90,15,1200,27,3500,400,11
1909,143,215,53,32,43,900,90,15,1200,27,3500,400,11
3292,247,370,91,56,74,900,90,15,1200,27,3500,400,11
2686,201,302,75,45,60,900,90,15,1200,27,3500,400,11
2802,210,315,78,47,63,900,90,15,1200,27,3500,400,11
3160,237,355,88,53,71,900,90,15,1200,27,3500,400,11
2918,219,328,81,49,66,900,90,15,1000,18,3500,400,11
2614,196,229,102,34,46,900,90,15,1000,18,3500,400,11
2520,189,284,70,43,57,900,90,15,1200,27,3500,400,11
1832,137,206,51,31,41,900,90,15,1000,18,3500,400,11
3777,283,425,105,64,85,900,90,15,1000,27,3500,400,11
1782,134,200,50,30,40,900,90,15,1200,40.5,3500,400,11
1959,147,220,54,33,44,900,90,15,1200,27,3500,400,11
1919,144,216,53,32,43,900,90,15,1200,27,3500,400,11
3053,229,343,85,51,69,900,90,15,1200,27,3500,400,11
2812,211,316,78,47,63,900,90,15,1000,18,3500,400,11
2446,183,275,68,41,55,900,90,15,1000,18,3500,400,11
3426,257,385,95,58,77,900,90,15,1000,18,3500,400,11
2722,204,306,76,46,61,900,90,15,1000,18,3500,400,11
2775,208,312,77,47,62,900,90,15,1000,18,3500,400,11
1764,132,198,49,30,40,900,90,15,1200,27,3500,400,11
2019,151,227,56,34,45,900,90,15,1200,27,3500,400,11
3763,282,423,105,63,85,900,90,15,1000,18,3500,400,11
3266,245,367,91,55,73,900,90,15,1200,27,3500,400,11
2675,201,301,74,45,60,900,90,15,1000,18,3500,400,11
1553,116,175,43,26,35,900,90,15,1200,27,3500,400,11
2863,215,322,80,48,64,900,90,15,1200,27,3500,400,11
2326,174,262,65,39,52,900,90,15,1200,27,3500,400,11
2456,184,276,68,41,55,900,90,15,1000,18,3500,400,11
3277,246,369,91,55,74,900,90,15,1200,27,3500,400,11
1799,135,202,50,30,40,900,90,15,1000,18,3500,400,11
2378,178,268,66,40,54,900,90,15,1200,40.5,3500,400,11
3576,268,402,99,60,80,900,90,15,1000,18,3500,400,11
3423,257,385,95,58,77,900,90,15,1000,18,3500,400,11
3843,288,432,107,65,86,900,90,15,1000,18,3500,400,11
3156,237,355,88,53,71,900,90,15,1000,18,3500,400,11
2250,169,253,62,38,51,900,90,15,1200,40.5,3500,400,11
2837,213,319,79,48,64,900,90,15,1200,40.5,3500,400,11
2900,218,326,81,49,65,900,90,15,1000,18,3500,400,11
2983,224,336,83,50,67,900,90,15,1000,18,3500,400,11
3519,264,396,98,59,79,900,90,15,1000,18,3500,400,11
2660,199,299,74,45,60,900,90,15,1000,18,3500,400,11
3982,299,448,111,67,90,900,90,15,1000,18,3500,400,11
2746,206,309,76,46,62,900,90,15,1200,27,3500,400,11
1964,147,221,55,33,44,900,90,15,1200,27,3500,400,11
2142,161,241,60,36,48,900,90,15,1000,18,3500,400,11
2051,154,179,80,27,36,900,90,15,1200,27,3500,400,11
2699,202,304,75,46,61,900,90,15,1200,27,3500,400,11
3143,236,354,87,53,71,900,90,15,1200,27,3500,400,11
2457,184,276,68,41,55,900,90,15,1000,18,3500,400,11
1854,139,209,51,31,42,900,90,15,1000,18,3500,400,11
3419,256,385,95,58,77,900,90,15,1000,18,3500,400,11
3140,235,353,87,53,71,900,90,15,1200,27,3500,400,11
2303,173,259,64,39,52,900,90,15,1200,27,3500,400,11
3251,244,366,90,55,73,900,90,15,1000,18,3500,400,11
2097,157,236,58,35,47,900,90,15,1200,27,3500,400,11
4017,301,452,112,68,90,900,90,15,1000,18,3500,400,11
3476,261,304,135,46,61,900,90,15,1200,27,3500,400,11
2328,175,262,65,39,52,900,90,15,1200,40.5,3500,400,11
2875,216,252,112,38,50,900,90,15,1000,18,3500,400,11
2669,200,234,104,35,47,900,90,15,1200,27,3500,400,11
2125,159,239,59,36,48,900,90,15,1000,18,3500,400,11
2718,204,306,76,46,61,900,90,15,1200,27,3500,400,11
1761,132,198,49,30,40,900,90,15,1200,27,3500,400,11
2080,156,234,58,35,47,900,90,15,1200,27,3500,400,11
2388,179,269,66,40,54,900,90,15,1200,27,3500,400,11
3167,238,356,88,53,71,900,90,15,1000,18,3500,400,11
2491,187,280,69,42,56,900,90,15,1200,27,3500,400,11
3496,262,393,97,59,79,900,90,15,1000,18,3500,400,11
2597,195,292,72,44,58,900,90,15,1000,18,3500,400,11
